"","Name","Line.1","Line.2","Town","County","Postcode"
"1","Savile Club","69 Brook Street","","London","Greater London","W1K 4ER"
"2","Black Bear Burger","11A-13 Market Row","","London","Greater London","SW9 8LB"
"3","Black Bear Burger","Unit 61, Boxpark Retail Mall 2-10","Bethnal Green Road","London","Greater London","E1 6GY"
"4","MOMO canteen","11 Westferry Circus","","London","Greater London","E14 4HD"
"5","The Pig and Whistle ","479-481","Merton Road","London","Greater London","SW18 5LD"
"6","The Old Sergeant ","102-104","Garratt Lane","London","Greater London","SW18 4DJ"
"7","Jasmine's house Ltd ","103 Kenton Road","","Harrow","Greater London","HA3 0AN"
"8","Pizza Parlour Wembley Ltd","218 Ealing Road","","Wembley","Greater London","HA0 4QG"
"9","Saffron Circle","7 New College Parade","","London","Greater London","NW3 5EP"
"10","Fishworks Swallow Street","7-9","Swallow Street","London","Greater London","W1B 4DE"
"11","Fishworks Marylebone","89 Marylebone High Street","","London","Greater London","W1U 4QW"
"12","Fishworks Covent Garden","2-4","Catherine Street","London","Greater London","WC2B 5JY"
"13","Beijing Dumpling","23 Lisle Street","","London","Greater London","WC2H 7BA"
"14","Indigo","101 Rosendale Road","","London","Greater London","SE21 8EZ"
"15","The Dartmouth Arms","7 Dartmouth Road","","London","Greater London","SE23 3HN"
"16","The Dolphin","121 Sydenham Road","","London","Greater London","SE26 5HB"
"17","The Duke","125 Creek Road","","London","Greater London","SE8 3BU"
"18","Beacon Bingo Cricklewood","200 Cricklewood Broadway","","London","Greater London","NW2 3DU"
"19","Caliendo’s Gelato","182 Kentish Town Road","","London","Greater London","NW5 2AE"
"20","Our Kitchen","135 Croydon Road","","Beckenham","Greater London","BR3 3RB"
"21","German Doner Kebab Ilford (GDK Ilford)","94 Cranbrook Road","","Ilford","Greater London","IG1 4NH"
"22","KING EDWARD VII","47 Broadway","","London","Greater London","E15 4BQ"
"23","SNAPS & RYE","93 Golborne Road","","London","Greater London","W10 5NL"
"24","Huffkins at John Lewis Oxford St","300 Oxford Street","","London","Greater London","W1C 1DX"
"25","Huffkins at John Lewis Kingston","John Lewis","Clarence Street","Kingston upon Thames","Greater London","KT1 1TE"
"26","Cinnamon Kitchen Battersea","4 Arches Lane","","London","Greater London","SW11 8AB"
"27","Cinnamon Bazaar","28 Maiden Lane","","London","Greater London","WC2E 7JS"
"28","Rhonas cafe","3 North Parade","","Chessington","Greater London","KT9 1QL"
"29","Artisan Coffee Bar & Restaurant Ltd t/a A Mano Coffee Bar & Kitchen","286-290","High Street","Orpington","Greater London","BR6 0ND"
"30","Just So Italian Ltd t/a Valentina","210 Upper Richmond Road West","","London","Greater London","SW14 8AH"
"31","turan cafe","686 Becontree Avenue","","Dagenham","Greater London","RM8 3HD"
"32","JULIENEST CATERING SERVICES LTD","14 London Road","","Barking","Greater London","IG11 8AG"
"33","Spice N Ice Restaurant","3-5","South Park Hill Road","South Croydon","Greater London","CR2 7DY"
"34","Yummylicks ltd","10 Lauderdale Parade Lauderdale Roa","","London","Greater London","W9 1LU"
"35","OLIVOCARNE","61 Elizabeth Street","","London","Greater London","SW1W 9PP"
"36","OLIVOMARE","10 Lower Belgrave Street","","London","Greater London","SW1W 0LJ"
"37","OLIVO","21 Eccleston Street","","London","Greater London","SW1W 9LX"
"38","OLIVETO","49 Elizabeth Street","","London","Greater London","SW1W 9PP"
"39","BRITISH OAK","109 Old Dover Road","","London","Greater London","SE3 8SU"
"40","Pinner cafe","44 Chalton Street","","London","Greater London","NW1 1JB"
"41","Satyanarayan Restaurant Ltd","248 Streatfield Road","","Harrow","Greater London","HA3 9BY"
