"","Name","Line.1","Line.2","Town","County","Postcode","full_add","latitude","longitude"
"1","Savile Club","69 Brook Street","","London","Greater London","W1K 4ER","69 Brook Street  W1K 4ER London Greater London",51.51235985,-0.149127507285564
"2","Black Bear Burger","11A-13 Market Row","","London","Greater London","SW9 8LB","11A-13 Market Row  SW9 8LB London Greater London",51.4620549,-0.1127128
"3","MOMO canteen","11 Westferry Circus","","London","Greater London","E14 4HD","11 Westferry Circus  E14 4HD London Greater London",51.50585405,-0.0254327324053334
"4","The Pig and Whistle ","479-481","Merton Road","London","Greater London","SW18 5LD","479-481 Merton Road SW18 5LD London Greater London",51.4410958,-0.1966768
"5","The Old Sergeant ","102-104","Garratt Lane","London","Greater London","SW18 4DJ","102-104 Garratt Lane SW18 4DJ London Greater London",51.4376362,-0.1867394
"6","Jasmine's house Ltd ","103 Kenton Road","","Harrow","Greater London","HA3 0AN","103 Kenton Road  HA3 0AN Harrow Greater London",51.5810971,-0.318276310067289
"7","Pizza Parlour Wembley Ltd","218 Ealing Road","","Wembley","Greater London","HA0 4QG","218 Ealing Road  HA0 4QG Wembley Greater London",51.5391805,-0.3001759
"8","Fishworks Swallow Street","7-9","Swallow Street","London","Greater London","W1B 4DE","7-9 Swallow Street W1B 4DE London Greater London",51.50934615,-0.137609205442828
"9","Fishworks Marylebone","89 Marylebone High Street","","London","Greater London","W1U 4QW","89 Marylebone High Street  W1U 4QW London Greater London",51.5201246,-0.152128808804152
"10","Fishworks Covent Garden","2-4","Catherine Street","London","Greater London","WC2B 5JY","2-4 Catherine Street WC2B 5JY London Greater London",51.51264875,-0.119970013651742
"11","Beijing Dumpling","23 Lisle Street","","London","Greater London","WC2H 7BA","23 Lisle Street  WC2H 7BA London Greater London",51.5115216,-0.1305099
"12","Indigo","101 Rosendale Road","","London","Greater London","SE21 8EZ","101 Rosendale Road  SE21 8EZ London Greater London",51.4354897,-0.0937729
"13","The Dartmouth Arms","7 Dartmouth Road","","London","Greater London","SE23 3HN","7 Dartmouth Road  SE23 3HN London Greater London",51.4386919,-0.0538141341265336
"14","The Dolphin","121 Sydenham Road","","London","Greater London","SE26 5HB","121 Sydenham Road  SE26 5HB London Greater London",51.4282571,-0.0381297
"15","The Duke","125 Creek Road","","London","Greater London","SE8 3BU","125 Creek Road  SE8 3BU London Greater London",51.4811857,-0.0203846
"16","Beacon Bingo Cricklewood","200 Cricklewood Broadway","","London","Greater London","NW2 3DU","200 Cricklewood Broadway  NW2 3DU London Greater London",51.5604288,-0.2196197
"17","Caliendo’s Gelato","182 Kentish Town Road","","London","Greater London","NW5 2AE","182 Kentish Town Road  NW5 2AE London Greater London",51.5496783,-0.1408455
"18","German Doner Kebab Ilford (GDK Ilford)","94 Cranbrook Road","","Ilford","Greater London","IG1 4NH","94 Cranbrook Road  IG1 4NH Ilford Greater London",51.5651771,0.0659683
"19","KING EDWARD VII","47 Broadway","","London","Greater London","E15 4BQ","47 Broadway  E15 4BQ London Greater London",51.54106515,0.0029973503671967
"20","SNAPS & RYE","93 Golborne Road","","London","Greater London","W10 5NL","93 Golborne Road  W10 5NL London Greater London",51.5214848,-0.208803
"21","Huffkins at John Lewis Oxford St","300 Oxford Street","","London","Greater London","W1C 1DX","300 Oxford Street  W1C 1DX London Greater London",51.5158119,-0.1451549
"22","Cinnamon Kitchen Battersea","4 Arches Lane","","London","Greater London","SW11 8AB","4 Arches Lane  SW11 8AB London Greater London",51.483228,-0.1470701
"23","Cinnamon Bazaar","28 Maiden Lane","","London","Greater London","WC2E 7JS","28 Maiden Lane  WC2E 7JS London Greater London",51.51063785,-0.123705493497686
"24","Rhonas cafe","3 North Parade","","Chessington","Greater London","KT9 1QL","3 North Parade  KT9 1QL Chessington Greater London",51.3638456,-0.2996168
"25","Artisan Coffee Bar & Restaurant Ltd t/a A Mano Coffee Bar & Kitchen","286-290","High Street","Orpington","Greater London","BR6 0ND","286-290 High Street BR6 0ND Orpington Greater London",51.3751187,0.0988784
"26","Just So Italian Ltd t/a Valentina","210 Upper Richmond Road West","","London","Greater London","SW14 8AH","210 Upper Richmond Road West  SW14 8AH London Greater London",51.46503245,-0.26445643108447
"27","turan cafe","686 Becontree Avenue","","Dagenham","Greater London","RM8 3HD","686 Becontree Avenue  RM8 3HD Dagenham Greater London",51.5523396,0.1150962
"28","JULIENEST CATERING SERVICES LTD","14 London Road","","Barking","Greater London","IG11 8AG","14 London Road  IG11 8AG Barking Greater London",51.5368961,0.0700873
"29","OLIVOCARNE","61 Elizabeth Street","","London","Greater London","SW1W 9PP","61 Elizabeth Street  SW1W 9PP London Greater London",51.49362905,-0.151087451967385
"30","OLIVOMARE","10 Lower Belgrave Street","","London","Greater London","SW1W 0LJ","10 Lower Belgrave Street  SW1W 0LJ London Greater London",51.4966167,-0.1480262
"31","OLIVO","21 Eccleston Street","","London","Greater London","SW1W 9LX","21 Eccleston Street  SW1W 9LX London Greater London",51.49445015,-0.14822496649952
"32","OLIVETO","49 Elizabeth Street","","London","Greater London","SW1W 9PP","49 Elizabeth Street  SW1W 9PP London Greater London",51.4934233,-0.150803387413709
"33","BRITISH OAK","109 Old Dover Road","","London","Greater London","SE3 8SU","109 Old Dover Road  SE3 8SU London Greater London",51.4765134,0.0231221
"34","Pinner cafe","44 Chalton Street","","London","Greater London","NW1 1JB","44 Chalton Street  NW1 1JB London Greater London",51.5293805,-0.1295971
"35","Satyanarayan Restaurant Ltd","248 Streatfield Road","","Harrow","Greater London","HA3 9BY","248 Streatfield Road  HA3 9BY Harrow Greater London",51.5957431,-0.2967323
"36","Mr Fox","34 Surrey Street","","Croydon","Greater London","CR0 1RJ","34 Surrey Street  CR0 1RJ Croydon Greater London",51.3733675,-0.101366553279492
